account_id,entity_id,account_number,program_id,available_balance,bank_code
e89fa331-d623-e859-7424-4cdd48d9aaa4,e8282b59-19bd-fab2-3fe4-76c61c916021,2147467591942,21,"₹95,471,170.96",SBIN
6585e214-9f2b-2751-7e8f-3ddf12b13976,3e0911f3-440f-46d8-5f09-6aa579813af7,78384459996892,46,"(₹27,373,343.30)",SBIN
c74fa31a-2eee-673f-be43-3f60c06d28c4,5bb4ecf8-a795-087b-1906-7d0533965c0d,67771558936023,4,"(₹68,574,683.88)",UBIN
423ac11b-0b0e-2095-6753-17e4b5b84324,62a8dfa3-f113-026f-e2b8-e55830c00059,95751320207956,46,"(₹15,002,446.16)",TMBL
30249157-7376-a8c9-c323-754b8a8c5fac,2d421c5c-65e7-5778-af80-eb6806d13b4a,53255999642758,46,"(₹111,401,345.96)",CNRB
14c6f075-d9ab-45a9-4a65-33226a23d14e,549a4619-8cb6-0d17-ed88-17be08926a57,35791516485472,4,"(₹40,298,356.25)",RATN
62f99b63-4975-57f0-1611-9193590a1d57,0201715c-aebb-005c-025a-42dcf6b0362a,72791287433604,21,"₹191,921,014.34",TMBL
178c8d70-04b8-ef83-41a7-910fc155267f,7493907b-40de-2359-97c1-871c293af6c3,96817564358854,4,"(₹119,213,804.73)",CNRB
31bc601f-e01c-385f-1294-f31394999a45,53e4ca51-1313-5bc7-3847-28e5816a0575,70074293406915,4,"₹184,590,033.35",KKBK
7cf6e314-1e30-8359-ff69-9980be3fdf41,2389276c-3f40-d4cf-bebb-697fdc6a0865,72172090767133,21,"(₹144,447,324.29)",UTIB
f2d37fca-0695-8238-4234-d7555ab6c3b6,4744ddab-f6da-4a3f-cb80-f81f2eaf387d,38239595503183,4,"₹204,518,437.58",ICIC
d5681e48-5cb6-fb16-1d3b-bf43dde37ae6,5d7e1e0a-b2ef-957d-ab24-6a5c736fba71,25956141899097,46,"₹45,455,431.79",ICIC
cc18c200-b0df-6f92-4ffe-227bacd233bf,4dcd57af-99c2-149c-cb49-999cfc82c321,3108117549315,21,"₹78,083,724.27",KKBK
91014f89-aa94-392b-6a31-47aabdbb4f09,5cae5e08-c088-b223-9cc7-c16251c63d99,62505756270106,21,"₹246,221,456.46",ICIC
6d55974a-a614-424b-80f1-d2b178a90f7b,703dee88-7ed3-a7cf-6b22-ea476e16ce23,35240658567957,46,"(₹42,245,248.26)",KKBK
d8133f40-e1f6-0436-98d7-73a240f1576d,95940459-1bf1-8c28-e8fc-af82977f2394,64223204563706,46,"₹209,637,667.28",AUBL
d8948b87-39a3-4a20-5ca0-3abfd54746aa,f50b4426-4eb9-4706-6873-a85d72f975f6,14829422091173,21,"₹12,041,196.97",KKBK
57054cc9-340a-8491-c771-e83d9d9e23e7,b6cc8006-9891-ff0e-405c-4f63565bedcf,92691955458868,4,"₹200,987,255.78",SBIN
11d818a5-6fe9-0bfe-7e68-fc38f9fe1006,88995ccd-527c-3765-016a-0deede484435,91331852800751,4,"₹67,274,219.15",AUBL
5a64d576-e507-1266-0a87-6326909a483e,8398c575-63e3-ed42-de51-e0bfbcd74ece,35398002287871,4,"₹55,601,861.21",SBIN
a3fd30c5-9051-54b1-95a6-97ef7256463d,9408205f-f94f-6b2f-1b10-fdc1d4804f30,30070474197451,46,"₹96,015,000.34",RATN
b2fad0b0-6257-082e-5a97-1ec46f0fa04c,0814fd21-87fd-59f2-5aaa-bb7cab263e00,16082675727134,46,"₹87,982,754.22",TMBL
f3de4143-4b71-85a4-2d72-0b856cfdf13e,1ff53d59-3a25-abd9-98da-0cb475a6b89d,40981217853063,4,"(₹62,202,427.69)",KKBK
557454cc-0c2f-b232-8b03-dd914d6187f1,1d670ec3-7446-b258-2157-9c55536cbf3c,20762780413653,21,"₹107,697,789.68",HDFC
fe6609b5-b931-240e-60d1-d4c8e84f6b9b,2e7e48be-a594-78e0-4ef5-4ef43ecd3055,36376919957065,4,"(₹85,132,112.06)",RATN
b9d3c0bb-8cad-079d-58a3-6e602447af72,62af87a3-a0f1-4822-1dde-f1ab29b35b65,70670111017091,21,"₹191,686,740.77",RATN
0b0897e6-8c88-fab1-59b9-5def4d9d1afc,99cc6d3b-d97e-74fd-daae-b14744b554a4,77035680555969,21,"₹7,425,641.98",SBIN
7eda57aa-1ba0-47a8-cec9-4d8ecfa8420b,127a6e73-25ce-8624-d939-93e076d6f6e1,9766306963888,21,"₹112,793,677.82",SBIN
57212b73-c71b-3711-bc37-1ac374ecbe43,795fcc75-4144-ec0d-c6de-a3ea51c3390a,97302993088245,21,"₹236,124,119.52",ICIC
a96a98fd-e22b-522c-af92-5f1be1a94f8f,d7db0133-5798-404f-53ee-2a6a996f23d5,64993017296797,21,"₹107,196,686.75",SBIN
179ae64c-7873-f2a7-8c4f-efbb09c72369,7d62108f-def5-abd6-0c3a-fc21cb37d322,79531209392078,46,"(₹60,020,362.66)",CNRB
8228dbc1-0824-2125-4640-93b9d3ed52c8,886aacd0-88de-3216-7576-3569504a7342,59945328333896,46,"(₹674,962.84)",UTIB
68e3d7e8-c584-54b2-5eb0-ed1010499083,8df51383-5b95-85c3-0771-dd94676da90c,25939183978272,46,"₹98,479,251.07",UBIN
da343455-d73a-dc61-e247-af7e0cfe6821,37909e6e-509f-ed2f-cd94-f1e1b87e4c52,99013536134107,21,"(₹103,607,943.50)",ICIC
aeae8a95-e0b2-24d3-86a2-2c518ee7b35e,469d4744-500f-20ec-03f3-8086477e248c,2401050341659,21,"(₹137,131,208.99)",SBIN
aa683c6d-5a5f-0a70-aa95-81a0575b7157,de61f6a7-8d66-a16d-22d8-ed0d7ec664bc,7557467570426,21,"₹182,975,307.12",CNRB
431ad105-a6fc-62f8-78e9-d4c2711e4951,762c6bd4-881e-d729-8494-e1bb88b9a7a8,62213540256019,21,"₹10,169,386.45",UBIN
2b56f3ac-8091-40f0-3965-dadfa6fc42e7,939ccd12-259e-b98d-603a-9f80cecddaf1,75354529619213,46,"₹191,192,065.25",TMBL
c74096ca-5edc-97b6-98ee-66bde4d6b951,4d2250de-e16f-0f27-8924-44e3a5dbaee1,63642138753388,46,"₹107,650,216.77",HDFC
391347c4-119c-f099-6c80-1521d6271cf6,a1fac846-4c9f-fe20-3f08-c8d202e66f87,45775505512871,46,"₹148,197,581.05",UTIB
fe1ec28d-7cb0-944f-a856-b9666a5ad981,66952c3d-bb23-3f40-27f5-4d9315ffbbcf,66527161076413,46,"(₹66,892,391.86)",AUBL
fe86b954-b73f-7cd8-4e91-6411541a6335,e96b7b90-bcd3-12c5-cd5e-5498c5b996f0,83670501665794,46,"₹216,066,389.69",KKBK
59aad591-57f3-5379-d516-a330c6793b29,2c1c6c48-e401-663c-18b9-6bcf73534afb,68765219290117,21,"₹91,658,010.81",UBIN
2aa22392-9b2c-b766-1095-5e0d0199bc7e,be7f18c5-302e-6ca0-7481-b6d62a148c56,1372803625970,21,"(₹144,010,808.78)",UBIN
424f1bd2-ad27-0ddd-6b9f-53b5532fa65f,15ce3b12-8cb0-fede-a246-9633ada2ae67,21160373272618,46,"₹131,131,472.17",AUBL
